candidat,exergue,thematique_1,thematique_2,position,detail,signes,nom_source,lien_source,date_source,theme_1,theme_2
Anne Hidalgo,Recherche et développement,Supérieur et recherche,"",Consacrer 3 du PIB à la recherche et au développement,"La maire de Paris ambitionne de « relancer » les capacités de recherche et de développement en France, avec un effort atteignant 3 du PIB à la fin du quinquennat. Selon elle, la recherche publique doit être privilégiée, en particulier dans les secteurs de la santé, de l'énergie, de la mobilité et du numérique.",pos.: 55 | détail:313,Programme,https://www.2022avechidalgo.fr/notre_programme,"",Education,""
Anne Hidalgo,Numérique et GAFAM,Développement durable,Numérique,Engager les Gafam dans la transition écologique,"Anne Hidalgo exige un engagement « total » des Gafam dans la transition écologique. Elle compte mettre en œuvre une politique de labellisation « exigeante », sous le contrôle de l’Etat et de la société civile, afin d’éviter tout marketing abusif tel que le « greenwashing ».",pos.: 47 | détail:274,Programme,https://www.2022avechidalgo.fr/notre_programme,"",Environnement,Economie
Anne Hidalgo,Réforme du secteur bancaire,Entreprises et industrie,Système financier,Pénaliser les banques misant sur les secteurs polluants,La candidate de gauche veut faire adopter une loi pour imposer aux banques et aux assurances une pénalité sur l’investissement dans les énergies fossiles et les secteurs les plus polluants. Cette nouvelle législation compte rendre obligatoire le respect des critères environnementaux et sociaux dans leurs investissements.,pos.: 55 | détail:322,Programme,https://www.2022avechidalgo.fr/notre_programme,"",Economie,Economie
Anne Hidalgo,La France et l'Union européenne,Economie européenne,"",Mettre fin au pacte de stabilité et de croissance,"Mme Hidalgo souhaite la fin du pacte de stabilité et de croissance, au profit d’un pacte de progrès aux règles « compréhensibles de tous les citoyens ». Elle désire que l'UE soit dotée de ressources propres pour renforcer son budget par le biais, par exemple, de la taxation sur les transactions financières ou sur les Gafam. ",pos.: 49 | détail:326,Programme,https://www.2022avechidalgo.fr/notre_programme,"",Europe,""
Anne Hidalgo,Modulation de la TVA,Fiscalité européenne,Economie européenne,Insister sur les taux de TVA réduits sur les produits verts,"La maire de Paris souhaite encourager l'Europe à faire adopter des taux de TVA réduits sur les produits verts (réemploi, recyclage, agriculture bio, etc.).",pos.: 59 | détail:155,Programme,https://www.2022avechidalgo.fr/notre_programme,"",Europe,Europe
Anne Hidalgo,Financement de la transition écologique,Economie européenne,"",Elargir le fonds pour une transition juste,"Anne Hidalgo propose d’élargir le fonds pour une transition juste, soutenant les territoires confrontés à de graves difficultés socio-économiques, en le dotant de moyens supplémentaires pour mieux prendre en compte l’impact social de la transition écologique.",pos.: 42 | détail:259,Programme,https://www.2022avechidalgo.fr/notre_programme,"",Europe,""
Anne Hidalgo,Lutte contre la fraude fiscale,Fiscalité européenne,Economie européenne,Renforcer la transparence fiscale des multinationales ,"La candidate du PS compte renforcer les obligations de transparence fiscale des multinationales, et propose d’augmenter le contrôle du Parlement sur la liste européenne des paradis fiscaux. Elle défend aussi une fiscalité des multinationales plus forte afin de parvenir à un taux minimal d’imposition qui soit supérieur au taux de 15 de l’accord de 2021 de l’OCDE. ",pos.: 54 | détail:367,Programme,https://www.2022avechidalgo.fr/notre_programme,"",Europe,Europe
Anne Hidalgo,Droit d'asile,Asile et immigration,Institutions européennes,Réformer le système de Dublin,"Pour mener une politique migratoire « plus humaine, solidaire et efficace », la maire de Paris vise à « faire aboutir » la réforme du système de Dublin : un système qui serait basé sur la solidarité entre Etats membres, en fonction de leurs capacités, plutôt que la règle actuelle « arbitraire » qui veut que le premier pays d’entrée dans l’UE soit le pays responsable du traitement des demandes d’asile.",pos.: 29 | détail:404,Programme,https://www.2022avechidalgo.fr/notre_programme,"",Société,Europe
Anne Hidalgo,Parlement européen,Institutions européennes,"",S'assurer d'une politique européenne « plus démocratique »,"La candidate socialiste entend accorder davantage de place au Parlement européen, comme faire en sorte qu'il puisse amender le budget pluriannuel européen. Elle propose également que les députés européens aient le dernier mot dans l’adoption d’une directive ou d’un règlement sous certaines conditions. ",pos.: 58 | détail:303,Programme,https://www.2022avechidalgo.fr/notre_programme,"",Europe,""
Anne Hidalgo,"",Ecole et petite enfance,"",Lancer un programme « deux langues pour l’Europe »,La maire de Paris souhaite lancer un programme « deux langues pour l’Europe » afin que chaque élève et étudiant français puisse maîtriser l’anglais et une deuxième langue européenne à la fin de ses études. ,pos.: 50 | détail:206,Programme,https://www.2022avechidalgo.fr/notre_programme,"",Education,""
