candidat,exergue,thematique_1,thematique_2,position,detail,signes,nom_source,lien_source,date_source,theme_1,theme_2
Nathalie Arthaud,Evolution du smic,Emploi,Salaires,Augmenter le smic à 2 000 euros net,"La candidate de Lutte ouvrière estime qu'il faut remonter le smic, qui condamne plusieurs millions de salariés à la pauvreté, à 2 000 euros net par mois.",pos.: 35 | détail:156,Programme,https://www.nathalie-arthaud.info/mon-programme-de-luttes-194041.html,"",Economie,Economie
Nathalie Arthaud,Montant des salaires,Pouvoir d'achat,Salaires,Augmenter les salaires de 300 euros minimum,"La candidate d'extrême gauche estime qu'il faut une augmentation générale des salaires, en les rehaussant de 300, de 400, de 500 euros. Elle souhaite aussi indexer les salaires sur les prix pour faire face à l'inflation.",pos.: 43 | détail:222,France info,https://www.francetvinfo.fr/replay-radio/19h20-politique/presidentielle-2022-ou-sont-les-interets-des-travailleurs-dans-cette-campagne-s-interroge-nathalie-arthaud_4910487.html#xtor=CS2-765-[share]-,"",Social,Economie
Nathalie Arthaud,Durée légale de travail,Vie au travail,Pouvoir d'achat,Diminuer le temps de travail hebdomadaire,"Sans entrer dans le détail, la candidate de Lutte ouvrière estime, dans son programme, qu'il est nécessaire de « baisser les cadences et réduire le temps de travail pour conserver tous les postes » et qu’« embaucher est de l’intérêt des travailleurs et de toute la société ».",pos.: 41 | détail:275,Programme,https://www.nathalie-arthaud.info/editoriaux/pour-chaque-travailleur-un-emploi-et-un-salaire-decent-155277.html,"",Social,Social
Nathalie Arthaud,Montant des retraites,Retraites,Pouvoir d'achat,Monter le minimum retraite à 2 000 euros net,"Comme pour le smic, la candidate de Lutte ouvrière veut faire passer le minimum retraite à 2 000 euros net par mois. ",pos.: 44 | détail:117,RFI,https://www.rfi.fr/fr/podcasts/mardi-politique/20220125-nathalie-arthaud-porte-parole-de-lutte-ouvriC3A8re-candidate-C3A0-l-C3A9lection-prC3A9sidentielle,"",Social,Social
Nathalie Arthaud,Age de la retraite,Retraites,Emploi,Age légal à 60 ans ,La candidate d'extrême gauche souhaite avancer l'âge légal de départ à la retraite à 60 ans,pos.: 19 | détail:91,"","","",Social,Economie
Nathalie Arthaud,Bien-être animal,Condition animale,"",Combattre l'élevage et l'abattage intensifs,"Elle souhaite combattre l'élevage et l'abattage intensifs qui imposent aux animaux des souffrances inutiles. Selon la candidate d'extreme gauche, ces abus sont une conséquence directe du fonctionnement de l’économie capitaliste au profit immédiat en faisant fi de la nature, des animaux et des hommes. Elle se dit également opposée à la corrida ou aux combats de coqs car il n'est pas légitime de se divertir d'un spectacle qui occasionne des sévices aux animaux.",pos.: 43 | détail:467,Programme,https://www.nathalie-arthaud.info/qui-sommes-nous/nos-idees-et-positions-politiques/condition-animale,"",Environnement,""
Nathalie Arthaud,Position sur la chasse ,Droit animal,"",Interdire la chasse à courre,"Aspirant à vivre dans une société dans laquelle les êtres humains auront d’autres passe-temps que la chasse, Nathalie Arthaud se dit favorable à l’interdiction de la chasse à courre qu'elle qualifie de loisir cruel de riches oisifs en mal de distraction.",pos.: 28 | détail:258,Programme,https://www.nathalie-arthaud.info/qui-sommes-nous/nos-idees-et-positions-politiques/condition-animale,"",Environnement,""
Nathalie Arthaud,Profits et actionnariat salarié,Fiscalité,"",Rendre publique l'utilisation des profits des entreprises,La candidate de Lutte ouvrière annonce qu'elle souhaite lever le secret commercial et rendre publiques l’utilisation des profits et la fortune des actionnaires. Les travailleurs doivent contrôler les entreprises pour garantir leur utilisation au service de toute la société et s’assurer que le travail ne serve pas qu’à enrichir une minorité.,pos.: 57 | détail:348,Programme,https://www.nathalie-arthaud.info/mon-programme-de-luttes-194041.html,"",Economie,""
Nathalie Arthaud,Lutte contre le Covid-19,Santé,"",Lever les brevets des vaccins contre le Covid-19,"Pour la candidate d'extrême gauche, les brevets des vaccins contre le Covid-19 refusés aux pays pauvres accélèrent l’enrichissement de quelques millionnaires. Elle est ainsi favorable à leur levée. ",pos.: 48 | détail:200,Programme,https://www.nathalie-arthaud.info/editoriaux/brevets-sur-les-vaccins-bas-la-propriete-capitaliste-158835.html,"",Société,""
Nathalie Arthaud,Accueil des migrants,Asile et immigration,"",Instaurer la liberté de circulation des migrants,La candidate de Lutte ouvrière revendique la liberté de circulation et d'installation des migrants. Elle invite à accueillir ces femmes et ces hommes chassés de chez eux comme des frères et des sœurs. ,pos.: 48 | détail:203,Programme,https://www.nathalie-arthaud.info/liberte-de-circulation-194168.html,"",Société,""
Nathalie Arthaud,La France et l'Union européenne,Institutions européennes,"",Créer les Etats-Unis socialistes d’Europe,"Favorable à tout ce qui va dans le sens de la disparition des frontières, Nathalie Arthaud souhaite mettre en place une Europe véritablement unie et fraternelle : les Etats-Unis socialistes d’Europe. Une Europe qui, selon elle, ne pourra être que le début d’une union de tous les peuples à l’échelle mondiale.

",pos.: 43 | détail:317,Programme,https://www.nathalie-arthaud.info/qui-sommes-nous/europe,"",Europe,""
Nathalie Arthaud,Précarité énergétique,Taxes,Pouvoir d'achat,Exonérer les travailleurs des taxes sur le carburant,"Nathalie Arthaud souhaite que les travailleurs ne payent plus les taxes sur le carburant, qui seraient financés par la ponction des profits des entreprises pétrolières.",pos.: 54 | détail:170,France Info,https://www.francetvinfo.fr/replay-radio/8h30-fauvelle-dely/presidentielle-2022-le-8h30-franceinfo-d-helene-thouy-et-de-nathalie-arthaud_4933345.html,"",Economie,Social
Nathalie Arthaud,Système de santé publique,Hôpital,Emploi,Embaucher dans les hôpitaux et assurer la gratuité des soins,La candidate de Lutte ouvrière veut créer des postes dans l'hôpital public et mettre en place la gratuité des soins.,pos.: 60 | détail:116,France Info,https://www.francetvinfo.fr/replay-radio/8h30-fauvelle-dely/presidentielle-2022-le-8h30-franceinfo-d-helene-thouy-et-de-nathalie-arthaud_4933345.html,"",Société,Economie
Nathalie Arthaud,Revalorisation du métier d'enseignant,Enseignement,Emploi,Embaucher dans l'éducation,La candidate de Lutte ouvrière veut créer des postes dans l'éducation nationale.,pos.: 26 | détail:80,France Info,https://www.francetvinfo.fr/replay-radio/8h30-fauvelle-dely/presidentielle-2022-le-8h30-franceinfo-d-helene-thouy-et-de-nathalie-arthaud_4933345.html,"",Société,Economie
Nathalie Arthaud,Grand âge et Ehpad,Grand âge,Emploi,Embaucher dans les Ehpad,La candidate de Lutte ouvrière prône la création de postes dans les Ehpad.,pos.: 24 | détail:74,France Info,https://www.francetvinfo.fr/replay-radio/8h30-fauvelle-dely/presidentielle-2022-le-8h30-franceinfo-d-helene-thouy-et-de-nathalie-arthaud_4933345.html,"",Social,Economie
Philippe Poutou,Evolution du smic,Droit du travail,Pouvoir d'achat,Instaurer un revenu mensuel minimum de 1 800 euros net,"Le candidat du NPA souhaite instaurer un revenu décent pour tout le monde, avec un smic à 1 800 euros net par mois.",pos.: 54 | détail:117,Programme ,https://poutou2022.org/node/234,"",Social,Social
Philippe Poutou,Montant des salaires,Droit du travail,Pouvoir d'achat,Augmenter tous les revenus de 400 euros,"Face à la hausse des prix des loyers, de l'alimentation et de l'energie qui n’ont cessé d’augmenter, il propose d'augmenter tous les revenus de 400 euros. L'élu municipal de Bordeaux souhaite aussi indexer les salaires sur les prix, dans le privé comme dans le public, pour éviter que l’inflation ne réduise à zéro l’augmentation des revenus.",pos.: 39 | détail:346,Programme ,https://poutou2022.org/node/234,"",Social,Social
Philippe Poutou,Durée légale de travail,Droit du travail,"",Réduire le temps de travail à 32 heures sur quatre jours,"Il propose de faire passer la durée légale hebdomadaire en commençant par 32 heures sur quatre jours, sans perte de salaire. Un seul week-end travaillé par mois sera autorisé, et les heures supplémentaires seront interdites.",pos.: 56 | détail:224,Programme ,https://poutou2022.org/node/234,"",Social,""
Philippe Poutou,Age de la retraite,Droit du travail,Retraites,Avancer l'âge de départ à la retraite à 60 ans,"Le candidat d'extrême gauche souhaite avancer l'âge légal de départ à la retraite à 60 ans (55 ans pour les métiers pénibles), avec un temps de cotisation de 37 annuités.",pos.: 46 | détail:170,Programme ,https://poutou2022.org/node/234,"",Social,Social
Philippe Poutou,Droit du travail,Droit du travail,Emploi,Instaurer une sixième semaine de congés payés,Le candidat du NPA souhaite instaurer une sixième semaine de congés payés.,pos.: 45 | détail:74,Programme ,https://poutou2022.org/node/234,"",Social,Economie
Philippe Poutou,"",Droit du travail,Emploi,Interdire les licenciements,"L'élu municipal de Bordeaux entend interdire les licenciements, en premier lieu dans les entreprises qui font des profits. Pour celles en difficulté, il propose d'imposer la continuité du salaire et du contrat de travail, avec un financement assuré par le patronat.",pos.: 27 | détail:265,Programme ,https://poutou2022.org/node/235,"",Social,Economie
Philippe Poutou,Insertion des jeunes,Emploi,Précarité,Instaurer un revenu d'autonomie pour les 16-25 ans,Le candidat anticapitaliste souhaite instaurer un revenu d’autonomie pour tous les jeunes âgés de 16 à 25 ans proche de l'idée du smic à 1 800 euros net. ,pos.: 50 | détail:156,Programme,https://poutou2022.org/node/138,"",Economie,Economie
Philippe Poutou,Nombre de fonctionnaires,Fonction publique,Emploi,Créer un million de postes dans les services publics,Le candidat anticapitaliste souhaite créer un million de postes statutaires dans les services publics.,pos.: 52 | détail:102,Programme,https://poutou2022.org/node/139,"",Economie,Economie
Philippe Poutou,Nationalisation,Entreprises et industrie,"",Nationaliser les entreprises de l'énergie et du médicament,"Afin de renforcer et étendre les services publics, le candidat anticapitaliste souhaite créer des services publics de l’énergie et du médicament en nationalisant des grandes entreprises de ces secteurs telles que Veolia, Total, Sanofi, EDF ou Engie.",pos.: 58 | détail:251,Programme,https://poutou2022.org/node/140,"",Economie,""
Philippe Poutou,Choix face au nucléaire,Energie,"",Sortir du nucléaire en dix ans,"Le candidat du NPA veut mettre fin au nucléaire en l'espace de dix ans, tout en développant les énergies renouvelables et en mettant un coup d'arrêt aux industries polluantes.",pos.: 30 | détail:175,Programme,https://poutou2022.org/node/141,"",Environnement,""
Philippe Poutou,Réforme du secteur bancaire,Système financier,"",Réquisitionner les banques privées ,"Il a pour programme de réquisitionner et de socialiser les banques privées dans un monopole public bancaire, afin que les salaries puissent contrôler démocratiquement le crédit et les investissements, et pour sortir des logiques de profit et de rentabilité. ",pos.: 35 | détail:264,Programme,https://poutou2022.org/node/142,"",Economie,""
Philippe Poutou,Fonctionnement de la police,Police et gendarmerie,"",Supprimer la BAC et les BRAV,"Le candidat d’extrême gauche entend supprimer les corps spéciaux de répression, telles que la brigade anticriminalité (BAC) et les brigades de répression de l’action violente (BRAV). Il plaide également pour le désarmement de la police, à commencer par les unités au contact de la population.",pos.: 28 | détail:294,Programme,https://poutou2022.org/node/144,"",Sécurité,""
Philippe Poutou,Droit d'asile,Asile et immigration,"",Régulariser les sans-papiers,"L'élu municipal bordelais se dit favorable à la liberté de circulation et d’installation des migrants, et à la régularisation des sans-papiers.",pos.: 28 | détail:143,Programme,https://poutou2022.org/node/145,"",Société,""
Philippe Poutou,Droit de vote,Vie démocratique,Asile et immigration,Instaurer le droit de vote pour les étrangers,Le candidat est favorable au droit de vote pour les étrangers résidant en France.,pos.: 45 | détail:81,Programme,https://poutou2022.org/node/146,"",Politique,Société
Philippe Poutou,Interruption volontaire de grossesse,Santé,Droit des femmes ,Allonger le délai légal de l'IVG à 24 semaines,"Le candidat affirme que la lutte contre le sexisme et toutes les oppressions de genre est une urgence vitale. Ainsi, il veut déployer des moyens pour accueillir les femmes victimes de violences et lutter contre les LGBTIphobies. Il souhaite aussi allonger le délai légal de l'IVG à 24 semaines, et ouvrir des centres IVG et des maternités partout sur le territoire français. ",pos.: 46 | détail:379,Programme,https://poutou2022.org/node/306,"",Société,Société
Philippe Poutou,Egalité salariale hommes-femmes,Salaires,Egalité femmes-hommes,Instaurer l’égalité salariale ,Le candidat du NPA souhaite instaurer l’égalité des salaires entre les femmes et les hommes.,pos.: 30 | détail:92,Programme,https://poutou2022.org/programme,"",Economie,Société
Philippe Poutou,La France et l'Union européenne,Institutions européennes,"",Rompre avec les traités européens,"Partisan de la solidarité et la coopération entre les peuples, il estime que les seules barrières sont celles qui existent entre les exploiteurs et les exploités. Ainsi, il entend rompre avec les traités européens pour une Europe des travailleurs et des peuples.",pos.: 33 | détail:268,Programme,https://poutou2022.org/node/149,"",Europe,""
Philippe Poutou,Engagement militaire à l'étranger,Défense,"",Retirer les troupes militaires d'Afrique,"Pour en finir avec la politique impérialiste de la France, le candidat du NPA veut mettre fin à la Françafrique, à commencer par le retrait immédiat des troupes militaires.",pos.: 40 | détail:176,Programme,https://poutou2022.org/node/150,"",Sécurité,""
Philippe Poutou,"",Défense,Entreprises et industrie,Cesser les exportations d'armes ,"Le candidat d'extrême gauche souhaite le démantèlement du complexe militaro-industriel français et demande l'arrêt des exportations d’armes françaises.

",pos.: 32 | détail:155,Programme,https://poutou2022.org/node/151,"",Sécurité,Economie
Philippe Poutou,Lutte contre la fraude fiscale,Fiscalité,"",Mettre fin aux paradis fiscaux,"Pour rompre avec le capitalisme, Philippe Poutou entend mettre fin aux dizaines de milliards de dividendes pour les actionnaires du CAC 40, et à l’évasion dans les paradis fiscaux.",pos.: 30 | détail:184,Programme,https://poutou2022.org/node/152,"",Economie,""
Philippe Poutou,"",Santé,"",Mettre en place une grande Sécurité sociale,"Le candidat du NPA veut protéger la Sécurité sociale qui est attaquée depuis de très nombreuses années, en mettant en place une très grande Sécurité sociale qui permettrait de couvrir un peu tous les problèmes de la vie, comme l'accès réel et gratuit à la santé. Il est également favorable à une généralisation du tiers payant, géré par l'Assurance-maladie.",pos.: 45 | détail:365,France 2,https://twitter.com/PhilippePoutou/status/1490414995842211840?,"",Société,""
Philippe Poutou,"",Protection de l'environnement,Transports,Accéder gratuitement aux transports publics,Le candidat promet la gratuité des transports publics pour tous.,pos.: 43 | détail:64,Rue 89,https://rue89bordeaux.com/2022/01/en-meeting-a-bordeaux-poutou-defend-des-idees-de-revolte-a-la-presidentielle/,"",Environnement,Environnement
Philippe Poutou,Système de santé publique,Santé,"",Rouvrir 100 000 lits dans les hôpitaux,"Le candidat NPA qui souhaite en finir avec l’hôpital entreprise, veut former et embaucher 200 000 hospitaliers, et rouvrir 100 000 lits. Il souhaite également rouvrir des hôpitaux de proximité, en particulier en zones rurales, et veut des centres de santé publics et gratuits rattachés aux hôpitaux dans les quartiers et sur tout le territoire. Aussi, il plaide pour l'interdiction des dépassements d'honoraires, la suppression des franchises et des forfaits hospitalier et urgences.

",pos.: 38 | détail:487,Programme,https://www.lanticapitaliste.org/arguments/sante/avec-philippe-poutou-reprenons-le-controle-sur-notre-systeme-de-sante-sur-nos-vies,"",Société,""
Philippe Poutou,"",Santé,"",Lever les brevets ,"Pour une industrie pharmaceutique au service de la population, l'élu bordelais souhaite, quelle que soit la maladie, lever les brevets, pour permettre d’accéder à une protection et à des soins de qualité. ",pos.: 18 | détail:207,Programme,https://www.lanticapitaliste.org/arguments/sante/avec-philippe-poutou-reprenons-le-controle-sur-notre-systeme-de-sante-sur-nos-vies,"",Société,""
Anasse Kazib,Encadrement des contrats précaires,Droit du travail,"",Interdire immédiatement les licenciements,"Le candidat ambitionne d'interdire immédiatement les licenciements, y compris pour les CDD et intérimaires qui doivent avoir accès à un CDI. ",pos.: 41 | détail:143,Programme,https://anassekazib2022.fr/pdf_server.php?file=pdf/Programme2O22WEB,16/02/2022,Social,""
Anasse Kazib,Durée légale de travail,Droit du travail,"",Réduire le temps de travail,"Pour donner du travail à celles et ceux qui sont au chômage, le cheminot propose de réduire le temps de travail de ceux qui ont un emploi sans réduction de salaire jusqu’à en finir avec le chômage. Il prône également l'interdiction du travail de nuit, des horaires décalés et du travail du dimanche dans les secteurs non essentiels.",pos.: 27 | détail:338,Programme,https://anassekazib2022.fr/pdf_server.php?file=pdf/Programme2O22WEB,16/02/2022,Social,""
Anasse Kazib,Réforme de l'assurance-chômage,Chômage,"",Lutter contre toute réduction des prestations allouées aux chômeurs,"Pour M. Kazib, la réforme de l’assurance-chômage imposée par le gouvernement, qui réduit la couverture et l’accès aux droits va fragiliser un peu plus encore celles et ceux qui sont privés d’accès au marché du travail ou condamnés à enchaîner les CDD et les contrats précaires. S'il est élu, il compte s'opposer radicalement à toute réduction des prestations allouées aux chômeurs. ",pos.: 67 | détail:386,Programme,https://anassekazib2022.fr/pdf_server.php?file=pdf/Programme2O22WEB,16/02/2022,Social,""
Anasse Kazib,Montant des salaires,Emploi,Pouvoir d'achat,Augmenter les salaires de 300 euros et les indexer sur l'inflation,"Le candidat prône une augmentation généralisée des salaires de 300 euros net pour toutes et tous, qui permettrait d’unifier les revendications de l’ensemble du monde du travail. Il ambitionne également d'indexer les salaires et les pensions sur le taux d'inflation. ",pos.: 66 | détail:269,Programme,https://anassekazib2022.fr/pdf_server.php?file=pdf/Programme2O22WEB,16/02/2022,Economie,Social
Anasse Kazib,Evolution du smic,Emploi,Pouvoir d'achat,Augmenter le smic à 1 800 euros net,"S'il est élu, M. Kazib revalorisa immédiatement le smic à 1 800 euros net.",pos.: 35 | détail:76,Programme,https://anassekazib2022.fr/pdf_server.php?file=pdf/Programme2O22WEB,16/02/2022,Economie,Social
Anasse Kazib,Alimentation,Pouvoir d'achat,"",Imposer un gel des prix des produits de première nécessité,"Alors que l'inflation grève le pouvoir d'achat des ménages, le candidat propose que des comités populaires, de quartier, de consommatrices et de consommateurs, s'organisent pour surveiller les prix, mesurer l’inflation réelle, la qualité des denrées et exiger de l’Etat un gel des prix pour tous les produits de première nécessité, y compris des loyers.",pos.: 58 | détail:355,Programme,https://anassekazib2022.fr/pdf_server.php?file=pdf/Programme2O22WEB,16/02/2022,Social,""
Anasse Kazib,Aides aux locataires,Logement,Pouvoir d'achat,Imposer un gel des loyers pour les plus précaires,"Pour aider les plus précaires, M. Kazib compte imposer un gel ou remise des loyers.",pos.: 49 | détail:85,Programme,https://anassekazib2022.fr/pdf_server.php?file=pdf/Programme2O22WEB,16/02/2022,Social,Social
Anasse Kazib,Précarité énergétique,Pouvoir d'achat,Energie,"Imposer un gel des factures d’eau, gaz et électricité","Dans son programme, le candidat évoque un gel ou remise des
factures d’eau, gaz et électricité pour les plus précaires.",pos.: 53 | détail:121,Programme,https://anassekazib2022.fr/pdf_server.php?file=pdf/Programme2O22WEB,16/02/2022,Social,Environnement
Anasse Kazib,Logements sociaux,Logement,Pouvoir d'achat,Réquisitionner les logements vides et construire des logements éco-compatibles,"Le cheminot propose de réquisitionner les logements vides, et de mettre en œuvre un plan de construction de logements sociaux, de très haute qualité, éco-compatibles et durables, qui aurait le double avantage d’apporter une réponse de fond au problème du mal-logement et de créer des emplois.",pos.: 78 | détail:294,Programme,https://anassekazib2022.fr/pdf_server.php?file=pdf/Programme2O22WEB,16/02/2022,Social,Social
Anasse Kazib,Passoires thermiques,Lutte contre le réchauffement climatique,Logement,Rénover les logements et bureaux vides,Anasse Kazib compte imposer un programme ambitieux de rénovation de logements et de bureaux vides. ,pos.: 38 | détail:101,Programme,https://anassekazib2022.fr/pdf_server.php?file=pdf/Programme2O22WEB,16/02/2022,Environnement,Social
Anasse Kazib,Age de la retraite,Retraites,"",Rétablir la retraite à taux plein à 60 ans,"Le candidat d'extrême gauche défend le rétablissement de la retraite à taux plein à 60 ans, avec 37,5 annuités de cotisation, et le droit au départ à 55 ans, à taux plein, pour tous les métiers pénibles, à commencer par ceux de l’industrie.",pos.: 42 | détail:242,Programme,https://anassekazib2022.fr/pdf_server.php?file=pdf/Programme2O22WEB,16/02/2022,Social,""
Anasse Kazib,Montant des retraites,Retraites,"",Etablir un minimum vieillesse au moins au niveau du smic,"Pour le candidat, il faut un minimum vieillesse ou des pensions au moins au niveau du smic, quels que soient le nombre de trimestres cotisés, et qui doivent être revalorisés de façon à garantir l’ensemble des besoins. Dans son programme, il souhaite que les périodes de congé maladie ou de longue durée, ou de perception des minima sociaux ne soient plus décomptées des annuités. Il exige aussi le remplacement du système par répartition, financé avec les cotisations sur les salaires, par un impôt sur le grand patronat.",pos.: 56 | détail:525,Programme,https://anassekazib2022.fr/pdf_server.php?file=pdf/Programme2O22WEB,16/02/2022,Social,""
Anasse Kazib,Impôt sur les grandes fortunes,Impôts,"",Rétablir l'impôt sur la fortune,"S'il est élu à l'Elysée, M. Kazib exigera le rétablissement de l'impôt sur la fortune. Il prône également une forte augmentation de la progressivité de l’impôt, jusqu’à 100 sur les revenus du capital au-dessus de 260 000 euros.",pos.: 31 | détail:231,Programme,https://anassekazib2022.fr/pdf_server.php?file=pdf/Programme2O22WEB,16/02/2022,Economie,""
Anasse Kazib,Réforme constitutionnelle,Institutions,Vie démocratique,Mettre en place un gouvernement de travailleurs,"Les révolutionnaires entendent renverser l’Etat actuel pour le remplacer par un gouvernement des travailleuses et des travailleurs, appuyé sur leurs propres organismes de lutte et d’auto-organisation.",pos.: 49 | détail:200,Programme,https://anassekazib2022.fr/pdf_server.php?file=pdf/Programme2O22WEB,16/02/2022,Politique,Politique
Anasse Kazib,"",Vie démocratique,Police et gendarmerie,Abroger la loi sécurité globale,"Le candidat exige l’abrogation de toutes les lois et mesures qu'il juge sécuritaires et liberticides, et notamment la loi sécurité globale et sur l’état d’urgence sanitaire. Il promet aussi l’abrogation immédiate du passe sanitaire ainsi que l’ensemble des mesures qui visent à sanctionner les travailleurs sous un prétexte sanitaire, et notamment les soignantes, les soignants et les aides à domicile.",pos.: 33 | détail:408,Programme,https://anassekazib2022.fr/pdf_server.php?file=pdf/Programme2O22WEB,16/02/2022,Politique,Sécurité
Anasse Kazib,Rôle du Parlement,Vie démocratique,Ve ou VIe République,Créer une assemblée unique concentrant pouvoirs législatif et exécutif,"Il veut créer une assemblée unique concentrant les pouvoirs législatif et exécutif pour assurer le vote des lois issues de la majorité et leur application. Il explique que ces membres devraient être élus pour un mandat de deux ans, au suffrage universel direct par l’ensemble du corps électoral, dès 16 ans, sur la base d’assemblées locales, avec la possibilité d’être révoqués à tout moment. Ils ne sauraient toucher davantage que le salaire médian.",pos.: 33 | détail:408,Programme,https://anassekazib2022.fr/pdf_server.php?file=pdf/Programme2O22WEB,16/02/2022,Politique,Politique
Anasse Kazib,Droit de vote,Vie démocratique,"",Réformer le droit de vote,"Selon son programme, le vote sera autre chose qu’un chèque en blanc donné à un candidat bourgeois incarnant la moins pire des solutions ou un moindre mal par rapport aux réactionnaires déclarés. Il compte aussi permettre de voter dès 16 ans.",pos.: 70 | détail:450,Programme,https://anassekazib2022.fr/pdf_server.php?file=pdf/Programme2O22WEB,16/02/2022,Politique,""
Anasse Kazib,Outre-mer,Outre-mer,Vie démocratique,Soutenir la volonté d'indépendance des peuples colonisés,"Il soutient le droit de l'ensemble des peuples encore colonisés par la France (comme la Guadeloupe ou La Réunion) à décider de leur avenir, à défendre l’ensemble de leurs droits culturels et politiques spécifiques, y compris à travers le droit à l’autodétermination, à la séparation et à obtenir réparation.",pos.: 56 | détail:309,Programme,https://anassekazib2022.fr/pdf_server.php?file=pdf/Programme2O22WEB,16/02/2022,Société,Politique
Anasse Kazib,Engagement militaire à l'étranger,Défense,Diplomatie,Retirer toutes les forces militaires de l'étranger,"En cas d'élection, Anasse Kazib exigera le départ de toutes les troupes françaises d’occupation, la fermeture de toutes les bases militaires à l’extérieur et la fin de toutes les interventions militaires françaises à l’étranger.",pos.: 50 | détail:230,Programme,https://anassekazib2022.fr/pdf_server.php?file=pdf/Programme2O22WEB,16/02/2022,Sécurité,International
Anasse Kazib,La France et l'Union européenne,Institutions,Diplomatie,Créer une nouvelle union socialiste pour remplacer l'UE,"Le candidat de Révolution permanente envisage l'instauration des Etats-Unis socialistes d’Europe. C'est, selon lui, la seule perspective viable et rationnelle pour sortir de l’impasse et du faux dilemme « rupture avec l’UE » ou « Europe du capital » telle qu’elle existe.",pos.: 55 | détail:273,Programme,https://anassekazib2022.fr/pdf_server.php?file=pdf/Programme2O22WEB,16/02/2022,Politique,International
Anasse Kazib,Fonctionnement de la police,Police et gendarmerie,"",Dissoudre les corps spéciaux,"Anasse Kazib demande la dissolution immédiate des corps spéciaux (BAC, BRAV, CRS, gendarmerie, etc.) ainsi que l’interdiction de toutes les armes dites non létales utilisées contre les manifestations. Il exige aussi le retrait total des lois de responsabilité pénale qui cèdent, selon lui, à des revendications historiques des syndicats de police : reconnaissance faciale, drones, création de délits spécifiques concernant la police.",pos.: 28 | détail:435,Programme,https://anassekazib2022.fr/pdf_server.php?file=pdf/Programme2O22WEB,16/02/2022,Sécurité,""
Anasse Kazib,Légalisation du cannabis,Drogues,Santé,Légaliser le cannabis,"Il souhaite légaliser, sous contrôle de l’Etat et avec un suivi médical, l’ensemble des substances stupéfiantes et addictives, à commencer par le cannabis.",pos.: 21 | détail:155,Programme,https://anassekazib2022.fr/pdf_server.php?file=pdf/Programme2O22WEB,16/02/2022,Société,Société
Anasse Kazib,Fonctionnement de la justice,Justice,"",Mettre en place l'élection directe des juges,"Il compte mettre en place l’élection directe des juges, la généralisation des procès avec jurés populaires aptes à rendre des verdicts. Il souhaite aussi que les magistrats ou fonctionnaires dépendant du ministère de la justice touchent un salaire équivalent au salaire médian.",pos.: 44 | détail:277,Programme,https://anassekazib2022.fr/pdf_server.php?file=pdf/Programme2O22WEB,16/02/2022,Société,""
Anasse Kazib,Droit d'asile,Asile et immigration,"",Demander la régularisation de tous les sans-papiers,Il souhaite promouvoir le droit à s’installer en France pour toutes celles et ceux qui le souhaitent et demande la régularisation immédiate de tous les sans-papiers.,pos.: 51 | détail:167,Programme,https://anassekazib2022.fr/pdf_server.php?file=pdf/Programme2O22WEB,16/02/2022,Société,""
Anasse Kazib,Contrôle des frontières de l'Europe,Asile et immigration,"",Défendre l'ouverture des frontières,Anasse Kazib défend l’ouverture des frontières et la liberté de circulation.,pos.: 35 | détail:76,Programme,https://anassekazib2022.fr/pdf_server.php?file=pdf/Programme2O22WEB,16/02/2022,Société,""
Anasse Kazib,Accueil des migrants,Asile et immigration,"",Fermer les CRA,"En cas d'élection, il fermera les centres de rétention administrative et instaurera le droit de vote à toutes les élections pour tous les immigrés ainsi que la défense du droit au regroupement familial et l’arrêt immédiat des expulsions. ",pos.: 14 | détail:238,Programme,https://anassekazib2022.fr/pdf_server.php?file=pdf/Programme2O22WEB,16/02/2022,Société,""
Anasse Kazib,Droits des LGBT+,Discriminations,"",Rendre gratuits les soins médicaux nécessaires aux parcours de transition pour les personnes trans,"Pour les personnes trans, M. Kazib souhaite la dépsychiatrisation, la gratuité et la liberté d’accès aux soins médicaux nécessaires aux parcours de transition.",pos.: 98 | détail:161,Programme,https://anassekazib2022.fr/pdf_server.php?file=pdf/Programme2O22WEB,16/02/2022,Société,""
Anasse Kazib,Violences faites aux femmes,Droit des femmes ,"",Ouvrir des refuges pour les victimes de violences,"M. Kazib ambitionne d'ouvrir des refuges pour les victimes de violences avec des moyens et des personnels qualifiés, ou encore une éducation aux questions de genre intégrale avec des moyens massifs investis dans les services publics.",pos.: 49 | détail:235,Programme,https://anassekazib2022.fr/pdf_server.php?file=pdf/Programme2O22WEB,16/02/2022,Société,""
Anasse Kazib,Lutte contre la prostitution,Droit des femmes ,Egalité femmes-hommes,Abroger la loi prostitution,"La loi pénalisant les clients sera abrogée, promet M. Kazib. ",pos.: 27 | détail:61,Programme,https://anassekazib2022.fr/pdf_server.php?file=pdf/Programme2O22WEB,16/02/2022,Société,Société
Anasse Kazib,Durée du mandat présidentiel,Institutions,"",Supprimer la présidence de la République et le Sénat,"Pour en finir avec la farce démocratique de la Ve République, M. Kazib entend supprimer la présidence de la République et le Sénat, chambre réactionnaire et antidémocratique dont le seul rôle est de contrôler l’Assemblée nationale.",pos.: 52 | détail:235,Programme,https://www.anassekazib2022.fr/nosmesures.php,16/02/2022,Politique,""
